epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,20457.9,0.51953,0.46904,1.12935,0.99789,0.96429,0.99397,0.80098,0.7697,0.5767,1.39223,0.0001784,0.0001784,0.0001784
140,20595.3,0.54182,0.46438,1.09749,0.99879,1,0.995,0.77936,0.77134,0.56037,1.40038,0.0001652,0.0001652,0.0001652
141,20732.2,0.40032,0.37192,1.05503,0.96446,1,0.99259,0.78568,0.73079,0.56629,1.36742,0.000152,0.000152,0.000152
142,20866.3,0.36171,0.37733,1.01786,0.96437,1,0.99397,0.79614,0.7021,0.56246,1.3464,0.0001388,0.0001388,0.0001388
143,20999.7,0.34357,0.3465,0.97903,0.96267,1,0.99397,0.76498,0.6882,0.55739,1.34103,0.0001256,0.0001256,0.0001256
144,21137,0.3878,0.4176,1.03275,0.96084,1,0.99397,0.74694,0.68231,0.55587,1.33705,0.0001124,0.0001124,0.0001124
145,21271.4,0.34609,0.32616,0.99725,0.95825,1,0.99397,0.75699,0.68201,0.54422,1.33344,9.92e-05,9.92e-05,9.92e-05
146,21405.2,0.34779,0.31321,1.00567,0.96551,0.99985,0.99397,0.76924,0.67992,0.54458,1.33107,8.6e-05,8.6e-05,8.6e-05
147,21540.2,0.36103,0.3375,0.99828,0.96551,0.99965,0.99397,0.78996,0.68095,0.54994,1.33444,7.28e-05,7.28e-05,7.28e-05
148,21674.6,0.37749,0.34278,1.07671,0.96418,1,0.99397,0.79541,0.68919,0.55808,1.34824,5.96e-05,5.96e-05,5.96e-05
149,21809,0.32893,0.30124,0.99148,0.96469,1,0.99397,0.8026,0.68379,0.55876,1.34673,4.64e-05,4.64e-05,4.64e-05
150,21943,0.34528,0.30407,0.99021,0.96548,0.9989,0.99259,0.8074,0.68752,0.55796,1.34891,3.32e-05,3.32e-05,3.32e-05
